Model,Samples,Data %,Training Time,Test Accuracy,Validation Accuracy,Epoch
Digit,100,10.0,9.53897500038147,0.632,0.612,1
Digit,200,20.0,7.278353929519653,0.69,0.694,2
Digit,300,30.000000000000004,8.953756093978882,0.72,0.73,3
Digit,400,40.0,12.725754737854004,0.756,0.758,4
Digit,500,50.0,14.03925085067749,0.748,0.772,5
Digit,600,60.00000000000001,22.72245717048645,0.758,0.79,6
Digit,700,70.0,18.272048950195312,0.754,0.788,7
Digit,800,80.0,19.409255981445312,0.782,0.802,8
Digit,900,90.0,21.42588496208191,0.808,0.784,9
Digit,1000,100.0,24.45439910888672,0.792,0.796,10
Face,45,10.0,4.53347110748291,0.7866666666666666,0.7574750830564784,11
Face,90,20.0,10.535000085830688,0.84,0.8438538205980066,12
Face,135,30.000000000000004,10.944797992706299,0.8133333333333334,0.8305647840531561,13
Face,180,40.0,10.663970947265625,0.7333333333333333,0.7541528239202658,14
Face,225,50.0,11.75795030593872,0.8066666666666666,0.7940199335548173,15
Face,270,60.00000000000001,13.460588216781616,0.8133333333333334,0.8239202657807309,16
Face,315,70.0,14.642026901245117,0.8533333333333334,0.8604651162790697,17
Face,360,80.0,16.448142766952515,0.8533333333333334,0.8604651162790697,18
Face,405,90.0,16.494116067886353,0.8666666666666667,0.8770764119601329,19
Face,451,100.0,18.772387266159058,0.8533333333333334,0.8870431893687708,20
